"id","question","axis","units","agree"
"1","Si la mondialisation est inévitable, elle devrait avant tout servir l'humanité plutôt que les intérêts de multinationales.","x","1.12","-"
"2","Je soutiendrai toujours mon pays, qu'il ait raison ou tort.","y","0.5","+"
"3","Personne ne choisit son pays de naissance, il est donc stupide d’en être fier.","y","0.5","-"
"4","Ma race a de nombreuses qualités que les autres races n’ont pas.","y","0.5","+"
"5","L'ennemi de mon ennemi est mon ami.","y","0.5","+"
"6","Des interventions militaires allant à l'encontre du droit international sont parfois justifiées.","y","0.5","+"
"7","Il y a actuellement un mélange inquiétant entre l'information et le divertissement.","y","0.5","-"
"8","Les gens sont en définitive plus divisés par classe sociale que par nationalité.","x","1.13","-"
"9","Contrôler l'inflation est plus important que contrôler le chômage.","x","1.13","+"
"10","Parce qu'on ne peut pas faire confiance aux grandes entreprises pour protéger l'environnement volontairement, il faut leur imposer des règles.","x","1","-"
"11","'De chacun selon ses moyens, à chacun selon ses besoins' est foncièrement une bonne idée.","x","1","-"
"12","C'est un triste reflet de notre société que quelque chose d'aussi fondamental que l'eau potable soit désormais un produit de consommation, embouteillé sous l'étiquette d'une marque.","x","1.25","-"
"13","Un terrain ne devrait pas être un bien qui s'achète et se vend.","x","1.13","-"
"14","Il est regrettable que de nombreuses fortunes personnelles soient faites par des gens qui manipulent de l'argent sans contribuer en rien à la société.","x","1.12","-"
"15","Le protectionnisme est parfois nécessaire dans le commerce.","x","1.13","-"
"16","La seule responsabilité sociale d'une entreprise devrait être de distribuer ses profits à ses actionnaires.","x","1.13","+"
"17","Les riches payent trop d'impôts.","x","1","+"
"18","Ceux qui en ont les moyens devraient avoir accès à de meilleurs services médicaux.","x","1","+"
"19","Les gouvernements devraient pénaliser les entreprises qui induisent le public en erreur.","x","1","-"
"20","Un véritable Libre Marché exige des restrictions sur la capacité des multinationales prédatrices à créer des monopoles.","y","0.1","-"
"21","Plus le marché économique est libre, plus les personnes sont libres.","x","1.25","+"
"22","L'avortement devrait toujours être illégal si la vie de la mère n'est pas menacée.","y","0.5","+"
"23","Toute autorité devrait être mise en question.","y","0.5","-"
"24","Œil pour œil, dent pour dent.","y","0.4","+"
"25","On ne devrait pas attendre des contribuables qu'ils financent des théâtres ou des musées qui ne sont pas autosuffisants économiquement.","x","1.13","+"
"26","Les écoles ne devraient pas rendre la présence en classe obligatoire.","y","0.5","-"
"27","Toute personne a ses droits, mais il est préférable pour nous tous que les différents types de gens s'en tiennent à leurs semblables.","y","0.5","+"
"28","Les bons parents doivent parfois donner la fessée à leurs enfants.","y","0.5","+"
"29","Il est naturel pour des enfants de cacher des choses à leurs parents.","y","0.5","-"
"30","Détenir du cannabis pour son usage personnel ne devrait pas être une infraction.","y","0.4","-"
"31","La fonction première de l'école devrait être de donner à la génération future les moyens de trouver un emploi.","y","0.4","+"
"32","Les gens souffrant d'un handicap lourd et génétiquement transmissible ne devraient pas être autorisés à faire des enfants.","y","0.5","+"
"33","La chose la plus importante à apprendre pour un enfant est d'accepter la discipline.","y","0.5","+"
"34","Il n'y a pas de sauvages ou de peuples civilisés, il n'y a que des cultures différentes.","y","0.5","-"
"35","Ceux en capacité de travailler, mais qui en refusent l'opportunité, ne devraient pas s'attendre à être soutenus par la société.","y","0.5","+"
"36","Quand vous êtes soucieux, il vaut mieux ne pas y penser, et s'occuper avec des choses plus gaies.","y","0.5","+"
"37","Les immigrés de première génération ne peuvent jamais s'intégrer totalement dans leur nouveau pays.","y","0.5","-"
"38","Ce qui est bon pour les entreprises les plus prospères est toujours, dans l'absolu, bon pour nous tous.","x","1.4","+"
"39","Aucune institution de radiodiffusion, aussi libre que soit son contenu, ne devrait recevoir de financement public.","x","0.75","+"
"40","Nos libertés civiles sont excessivement contraintes au nom de la lutte contre le terrorisme.","y","0.5","+"
"41","Un avantage important d'un État à parti unique est qu'il évite tous les débats qui retardent les progrès dans un système politique démocratique.","y","0.5","+"
"42","Quoique les progrès de l'électronique rendent la surveillance étatique plus facile, seuls ceux qui ont quelque chose à se reprocher ont des raisons de s'inquiéter.","y","0.5","+"
"43","La peine de mort devrait être une option dans le cas des crimes les plus graves.","y","0.5","+"
"44","Une société civilisée se doit de toujours avoir une hiérarchie verticale, avec des gens qui commandent et des gens qui obéissent.","y","0.4","+"
"45","Les œuvres abstraites qui ne représentent rien ne devraient pas être considérées comme de l’art.","y","0.5","+"
"46","Dans le domaine pénal, la punition devrait être plus importante que la réinsertion.","y","0.5","-"
"47","Les tentatives de réinsertion de certains criminels sont une perte de temps.","y","0.5","-"
"48","Un homme d'affaires ou un ouvrier sont plus importants qu'un écrivain ou un artiste.","y","0.4","-"
"49","Une mère peut avoir une carrière, mais son devoir est avant tout de s'occuper de son foyer.","y","0.4","+"
"50","Les multinationales exploitent malhonnêtement les ressources génétiques végétales de pays en voie de développement.","y","0.5","-"
"51","S'accommoder de l'ordre social est un aspect important de la maturité.","y","0.4","+"
"52","Il y a de nombreuses choses que l'astrologie explique très bien.","y","0.4","+"
"53","La moralité passe nécessairement par la religion.","y","0.4","+"
"54","La charité vaut mieux que la sécurité sociale pour aider ceux qui sont réellement désavantagés.","x","1.25","+"
"55","Il y a des gens naturellement malchanceux.","y","0.4","+"
"56","Il est important que mon enfant reçoive certaines valeurs religieuses à l'école.","y","0.4","+"
"57","Les relations sexuelles hors mariages sont en général immorales.","y","0.46","+"
"58","Un couple homosexuel, dans une relation stable et aimante, ne devrait pas se voir interdit d'adopter un enfant.","y","0.4","-"
"59","La pornographie, si elle représente des adultes consentants, devrait être légalement accessible pour les adultes.","y","0.4","-"
"60","Ce qui passe dans une chambre à coucher entre adultes consentants n'est en rien les affaires de l'état.","y","0.4","-"
"61","Personne ne peut naturellement se sentir homosexuel.","y","0.4","+"
"62","De nos jours, l'ouverture d'esprit sur le sexe va trop loin.","y","0.44","+"
